No_facc         ,Falta_fac ,Tiponcc     ,Cve_prov,Saldo_fac           ,Nom_prov                                                                                                                                                                                                                                                      ,Falta_prov,Lim_cre     ,Dia_cre,Tels                           ,Cve_mon   ,U_tip_cam ,Des_mon                                                                         ,Ident,Grup,Post,Fech_venci,Tiponota    ,Cve_comp  ,Nom_comp                                ,Total_fac           ,Afectbanco,Fenmarca,Total1              ,Total2              ,Total3              ,Total4              ,Total5              ,Concepto       ,Cve_iva   ,No_pedc   ,No_facc_ext001  
D7895           ,11/10/2023,            ,1855,200970,PAPELES ESPECIALES DE MEXICO SA DE CV                                                                                                                                                                                                                         ,02/11/2020,0,60,2216-3200                      ,1,18.3482,PESOS                                                                           ,FAC  ,1,0,10/12/2023,            ,14,ELISEO ROSAS TORRES                     ,200970,F         ,0,0,0,0,0,200970,Factura        ,NAL       ,0,D7895           
173378,09/08/2023,            ,1619,1260.39,PARADOR LAS CAÑADAS S.A. DE C.V.                                                                                                                                                                                                                              ,20/06/2019,0,0,-33,1,17.0608,PESOS                                                                           ,FAC  ,1,0,14/08/2023,            ,4,CONTABILIDAD                            ,1260.39,F         ,0,0,0,0,0,1260.39,Factura        ,GTO       ,0,173378
174866,07/09/2023,            ,1619,2672.23,PARADOR LAS CAÑADAS S.A. DE C.V.                                                                                                                                                                                                                              ,20/06/2019,0,0,-33,1,17.3492,PESOS                                                                           ,FAC  ,1,0,25/09/2023,            ,4,CONTABILIDAD                            ,2672.23,F         ,0,0,0,0,0,2672.23,Factura        ,GTO       ,0,174866
174867,07/09/2023,            ,1619,2672.23,PARADOR LAS CAÑADAS S.A. DE C.V.                                                                                                                                                                                                                              ,20/06/2019,0,0,-33,1,17.3492,PESOS                                                                           ,FAC  ,1,0,25/09/2023,            ,4,CONTABILIDAD                            ,2672.23,F         ,0,0,0,0,0,2672.23,Factura        ,GTO       ,0,174867
32409550O       ,28/04/2023,            ,1152,562,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,18.103,PESOS                                                                           ,FAC  ,1,0,02/05/2023,            ,4,CONTABILIDAD                            ,1100,F         ,0,0,0,0,0,562,Factura        ,GTO       ,0,32409550O       
32465839O       ,02/05/2023,            ,1152,1000,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.9975,PESOS                                                                           ,FAC  ,1,0,09/05/2023,            ,4,CONTABILIDAD                            ,1000,F         ,0,0,0,0,0,1000,Factura        ,GTO       ,0,32465839O       
32691355O       ,11/05/2023,            ,1152,500,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.7608,PESOS                                                                           ,FAC  ,1,0,15/05/2023,            ,4,CONTABILIDAD                            ,500,F         ,0,0,0,0,0,500,Factura        ,GTO       ,0,32691355O       
32709762O       ,12/05/2023,            ,1152,220,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.5845,PESOS                                                                           ,FAC  ,1,0,15/05/2023,            ,4,CONTABILIDAD                            ,220,F         ,0,0,0,0,0,220,Factura        ,GTO       ,0,32709762O       
32989305O       ,24/05/2023,            ,1152,1300,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.868,PESOS                                                                           ,FAC  ,1,0,25/05/2023,            ,4,CONTABILIDAD                            ,1300,F         ,0,0,0,0,0,1300,Factura        ,GTO       ,0,32989305O       
33542124O       ,17/06/2023,            ,1152,1000,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.1762,PESOS                                                                           ,FAC  ,1,0,27/06/2023,            ,4,CONTABILIDAD                            ,1000,F         ,0,0,0,0,0,1000,Factura        ,GTO       ,0,33542124O       
33853078O       ,29/06/2023,            ,1152,200,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.1013,PESOS                                                                           ,FAC  ,1,0,03/07/2023,            ,4,CONTABILIDAD                            ,200,F         ,0,0,0,0,0,200,Factura        ,GTO       ,0,33853078O       
34177574O       ,13/07/2023,            ,1152,800,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.0783,PESOS                                                                           ,FAC  ,1,0,21/07/2023,            ,4,CONTABILIDAD                            ,800,F         ,0,0,0,0,0,800,Factura        ,GTO       ,0,34177574O       
34177573O       ,14/07/2023,            ,1152,2000,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,16.8537,PESOS                                                                           ,FAC  ,1,0,21/07/2023,            ,4,CONTABILIDAD                            ,2000,F         ,0,0,0,0,0,2000,Factura        ,GTO       ,0,34177573O       
34294941O       ,18/07/2023,            ,1152,300,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,16.7892,PESOS                                                                           ,FAC  ,1,0,21/07/2023,            ,4,CONTABILIDAD                            ,300,F         ,0,0,0,0,0,300,Factura        ,GTO       ,0,34294941O       
34539355O       ,28/07/2023,            ,1152,500,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,16.8825,PESOS                                                                           ,FAC  ,1,0,02/08/2023,            ,4,CONTABILIDAD                            ,500,F         ,0,0,0,0,0,500,Factura        ,GTO       ,0,34539355O       
34541006O       ,28/07/2023,            ,1152,500,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,16.8825,PESOS                                                                           ,FAC  ,1,0,02/08/2023,            ,4,CONTABILIDAD                            ,500,F         ,0,0,0,0,0,500,Factura        ,GTO       ,0,34541006O       
34834362O       ,08/08/2023,            ,1152,500,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.0555,PESOS                                                                           ,FAC  ,1,0,14/08/2023,            ,4,CONTABILIDAD                            ,500,F         ,0,0,0,0,0,500,Factura        ,GTO       ,0,34834362O       
35246319O       ,21/08/2023,            ,1152,2000,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.1225,PESOS                                                                           ,FAC  ,1,0,22/08/2023,            ,4,CONTABILIDAD                            ,2000,F         ,0,0,0,0,0,2000,Factura        ,GTO       ,0,35246319O       
35303080O       ,24/08/2023,            ,1152,500,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,16.9267,PESOS                                                                           ,FAC  ,1,0,24/08/2023,            ,4,CONTABILIDAD                            ,500,F         ,0,0,0,0,0,500,Factura        ,GTO       ,0,35303080O       
35303081O       ,24/08/2023,            ,1152,320,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,16.9267,PESOS                                                                           ,FAC  ,1,0,24/08/2023,            ,4,CONTABILIDAD                            ,320,F         ,0,0,0,0,0,320,Factura        ,GTO       ,0,35303081O       
35306256O       ,24/08/2023,            ,1152,2000,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,16.9267,PESOS                                                                           ,FAC  ,1,0,24/08/2023,            ,4,CONTABILIDAD                            ,2000,F         ,0,0,0,0,0,2000,Factura        ,GTO       ,0,35306256O       
35306257O       ,24/08/2023,            ,1152,1000,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,16.9267,PESOS                                                                           ,FAC  ,1,0,24/08/2023,            ,4,CONTABILIDAD                            ,1000,F         ,0,0,0,0,0,1000,Factura        ,GTO       ,0,35306257O       
35306258O       ,24/08/2023,            ,1152,1000,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,16.9267,PESOS                                                                           ,FAC  ,1,0,24/08/2023,            ,4,CONTABILIDAD                            ,1000,F         ,0,0,0,0,0,1000,Factura        ,GTO       ,0,35306258O       
35306259O       ,24/08/2023,            ,1152,1000,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,16.9267,PESOS                                                                           ,FAC  ,1,0,24/08/2023,            ,4,CONTABILIDAD                            ,1000,F         ,0,0,0,0,0,1000,Factura        ,GTO       ,0,35306259O       
35811648O       ,11/09/2023,            ,1152,300,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.5543,PESOS                                                                           ,FAC  ,1,0,19/09/2023,            ,4,CONTABILIDAD                            ,300,F         ,0,0,0,0,0,300,Factura        ,GTO       ,0,35811648O       
36007182O       ,18/09/2023,            ,1152,499.99,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.1042,PESOS                                                                           ,FAC  ,1,0,19/09/2023,            ,4,CONTABILIDAD                            ,499.99,F         ,0,0,0,0,0,499.99,Factura        ,GTO       ,0,36007182O       
36435711O       ,03/10/2023,            ,1152,500,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.4127,PESOS                                                                           ,FAC  ,1,0,13/10/2023,            ,4,CONTABILIDAD                            ,500,F         ,0,0,0,0,0,500,Factura        ,GTO       ,0,36435711O       
36859154O       ,17/10/2023,            ,1152,500,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,18.0362,PESOS                                                                           ,FAC  ,1,0,19/10/2023,            ,4,CONTABILIDAD                            ,500,F         ,0,0,0,0,0,500,Factura        ,GTO       ,0,36859154O       
37501626O       ,07/11/2023,            ,1152,500,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.4117,PESOS                                                                           ,FAC  ,1,0,08/11/2023,            ,4,CONTABILIDAD                            ,500,F         ,0,0,0,0,0,500,Factura        ,GTO       ,0,37501626O       
37895871O       ,19/11/2023,            ,1152,1000,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.2708,PESOS                                                                           ,FAC  ,1,0,24/11/2023,            ,4,CONTABILIDAD                            ,1000,F         ,0,0,0,0,0,1000,Factura        ,GTO       ,0,37895871O       
39273321O       ,29/12/2023,            ,1152,1000,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,16.922,PESOS                                                                           ,FAC  ,1,0,02/01/2024,            ,4,CONTABILIDAD                            ,1000,F         ,0,0,0,0,0,1000,Factura        ,GTO       ,0,39273321O       
40786797O       ,13/02/2024,            ,1152,500,PASE SERVICIOS ELECTRONICOS S.A DE C.V                                                                                                                                                                                                                        ,08/08/2018,0,0,3333-3333 -  33                ,1,17.0855,PESOS                                                                           ,FAC  ,1,0,14/02/2024,            ,4,CONTABILIDAD                            ,500,F         ,0,0,0,500,0,0,Factura        ,GTO       ,0,40786797O       
212583HDEBT     ,09/12/2022,            ,864,880,"PETROMAX, S.A. DE C.V.                                                                                                                                                                                                                                        ",28/12/2017,0,0,333-3333                       ,1,19.6732,PESOS                                                                           ,FAC  ,1,0,16/12/2022,            ,4,CONTABILIDAD                            ,880,F         ,0,0,0,0,0,880,Factura        ,GTO       ,0,212583HDEBT     
2856729HDEBK    ,02/05/2023,            ,864,1200.32,"PETROMAX, S.A. DE C.V.                                                                                                                                                                                                                                        ",28/12/2017,0,0,333-3333                       ,1,17.9975,PESOS                                                                           ,FAC  ,1,0,09/05/2023,            ,4,CONTABILIDAD                            ,1200.32,F         ,0,0,0,0,0,1200.32,Factura        ,GTO       ,0,2856729HDEBK    
2870049HDEBK    ,10/05/2023,            ,864,898.68,"PETROMAX, S.A. DE C.V.                                                                                                                                                                                                                                        ",28/12/2017,0,0,333-3333                       ,1,17.8213,PESOS                                                                           ,FAC  ,1,0,12/05/2023,            ,4,CONTABILIDAD                            ,898.68,F         ,0,0,0,0,0,898.68,Factura        ,GTO       ,0,2870049HDEBK    
2878041HDEBK    ,15/05/2023,            ,864,1240.06,"PETROMAX, S.A. DE C.V.                                                                                                                                                                                                                                        ",28/12/2017,0,0,333-3333                       ,1,17.6287,PESOS                                                                           ,FAC  ,1,0,16/05/2023,            ,4,CONTABILIDAD                            ,1240.06,F         ,0,0,0,0,0,1240.06,Factura        ,GTO       ,0,2878041HDEBK    
2888247HDEBK    ,19/05/2023,            ,864,1250.07,"PETROMAX, S.A. DE C.V.                                                                                                                                                                                                                                        ",28/12/2017,0,0,333-3333                       ,1,17.5872,PESOS                                                                           ,FAC  ,1,0,24/05/2023,            ,4,CONTABILIDAD                            ,1250.07,F         ,0,0,0,0,0,1250.07,Factura        ,GTO       ,0,2888247HDEBK    
2898258HDEBK    ,25/05/2023,            ,864,1200.04,"PETROMAX, S.A. DE C.V.                                                                                                                                                                                                                                        ",28/12/2017,0,0,333-3333                       ,1,17.9687,PESOS                                                                           ,FAC  ,1,0,26/05/2023,            ,4,CONTABILIDAD                            ,1200.04,F         ,0,0,0,0,0,1200.04,Factura        ,GTO       ,0,2898258HDEBK    
2900229HDEBK    ,26/05/2023,            ,864,1250.04,"PETROMAX, S.A. DE C.V.                                                                                                                                                                                                                                        ",28/12/2017,0,0,333-3333                       ,1,17.8195,PESOS                                                                           ,FAC  ,1,0,29/05/2023,            ,4,CONTABILIDAD                            ,1250.04,F         ,0,0,0,0,0,1250.04,Factura        ,GTO       ,0,2900229HDEBK    
8000020230A     ,09/06/2023,            ,918,18070.83,PHARMA PLUS SA DE CV                                                                                                                                                                                                                                          ,14/02/2018,0,0,5656-565                       ,1,17.3608,PESOS                                                                           ,FAC  ,1,0,03/07/2023,            ,4,CONTABILIDAD                            ,18070.83,F         ,0,0,0,0,0,18070.83,Factura        ,GTO       ,0,8000020230A     
8000020263A     ,12/06/2023,            ,918,36637.74,PHARMA PLUS SA DE CV                                                                                                                                                                                                                                          ,14/02/2018,0,0,5656-565                       ,1,17.4085,PESOS                                                                           ,FAC  ,1,0,03/07/2023,            ,4,CONTABILIDAD                            ,36637.74,F         ,0,0,0,0,0,36637.74,Factura        ,GTO       ,0,8000020263A     
8000020503A     ,12/07/2023,            ,918,35198.26,PHARMA PLUS SA DE CV                                                                                                                                                                                                                                          ,14/02/2018,0,0,5656-565                       ,1,17.0605,PESOS                                                                           ,FAC  ,1,0,20/07/2023,            ,4,CONTABILIDAD                            ,35198.26,F         ,0,0,0,0,0,35198.26,Factura        ,GTO       ,0,8000020503A     
8000020739A     ,14/08/2023,            ,918,23151.81,PHARMA PLUS SA DE CV                                                                                                                                                                                                                                          ,14/02/2018,0,0,5656-565                       ,1,16.9548,PESOS                                                                           ,FAC  ,1,0,15/08/2023,            ,4,CONTABILIDAD                            ,23151.81,F         ,0,0,0,0,0,23151.81,Factura        ,GTO       ,0,8000020739A     
8000020909A     ,08/09/2023,            ,918,36868.33,PHARMA PLUS SA DE CV                                                                                                                                                                                                                                          ,14/02/2018,0,0,5656-565                       ,1,17.5805,PESOS                                                                           ,FAC  ,1,0,28/09/2023,            ,4,CONTABILIDAD                            ,36868.33,F         ,0,0,0,0,0,36868.33,Factura        ,GTO       ,0,8000020909A     
8000021146A     ,03/10/2023,            ,918,18205.91,PHARMA PLUS SA DE CV                                                                                                                                                                                                                                          ,14/02/2018,0,0,5656-565                       ,1,17.4127,PESOS                                                                           ,FAC  ,1,0,17/10/2023,            ,4,CONTABILIDAD                            ,18205.91,F         ,0,0,0,0,0,18205.91,Factura        ,GTO       ,0,8000021146A     
8000021686A     ,07/12/2023,            ,918,44473.94,PHARMA PLUS SA DE CV                                                                                                                                                                                                                                          ,14/02/2018,0,0,5656-565                       ,1,17.4215,PESOS                                                                           ,FAC  ,1,0,08/12/2023,            ,4,CONTABILIDAD                            ,44473.94,F         ,0,0,0,0,0,44473.94,Factura        ,GTO       ,0,8000021686A     
8000021940A     ,08/01/2024,            ,918,60930.23,PHARMA PLUS SA DE CV                                                                                                                                                                                                                                          ,14/02/2018,0,0,5656-565                       ,1,17.0458,PESOS                                                                           ,FAC  ,1,0,09/01/2024,            ,4,CONTABILIDAD                            ,60930.23,F         ,0,0,0,0,0,60930.23,Factura        ,GTO       ,0,8000021940A     
8000022204A     ,08/02/2024,            ,918,348000,PHARMA PLUS SA DE CV                                                                                                                                                                                                                                          ,14/02/2018,0,0,5656-565                       ,1,17.0357,PESOS                                                                           ,FAC  ,1,0,09/02/2024,            ,4,CONTABILIDAD                            ,348000,F         ,0,0,0,0,348000,0,Factura        ,GTO       ,0,8000022204A     
6359ACSER       ,25/09/2023,            ,1629,2100.01,PLASENCIA ACUEDUCTO S.A. DE C.V.                                                                                                                                                                                                                              ,24/06/2019,0,0,-33,1,17.1675,PESOS                                                                           ,FAC  ,1,0,04/10/2023,            ,          ,                                        ,2100.01,F         ,0,0,0,0,0,2100.01,Factura        ,GTO       ,0,6359ACSER       
619067,19/12/2023,            ,1803,240.7,PRINOVA MEXICO S DE RL DE CV                                                                                                                                                                                                                                  ,08/09/2020,0,0,2833-1607                      ,2,17.1908,DOLARES                                                                         ,FAC  ,1,0,17/02/2024,            ,10,Jessica Fonseca                         ,240.7,F         ,0,0,0,4137.82556,0,0,Factura        ,NAL       ,0,619067
F620119         ,26/12/2023,            ,1803,962.8,PRINOVA MEXICO S DE RL DE CV                                                                                                                                                                                                                                  ,08/09/2020,0,0,2833-1607                      ,2,17.059,DOLARES                                                                         ,FAC  ,1,0,24/02/2024,            ,10,Jessica Fonseca                         ,962.8,F         ,0,0,16424.4052,0,0,0,Factura        ,NAL       ,0,F620119         
588733,24/01/2024,            ,1803,962.8,PRINOVA MEXICO S DE RL DE CV                                                                                                                                                                                                                                  ,08/09/2020,0,0,2833-1607                      ,2,17.1125,DOLARES                                                                         ,FAC  ,1,0,24/03/2024,            ,10,Jessica Fonseca                         ,962.8,F         ,0,16475.915,0,0,0,0,Factura        ,NAL       ,0,588733
13027,20/06/2023,            ,395,19643.9,"PROCESOS DE SEGURIDAD IMPRESA, S.A. DE C .V.                                                                                                                                                                                                                  ",13/09/2013,30,30,3613-0185 3614-2913            ,1,17.0792,PESOS                                                                           ,FAC  ,1,0,20/07/2023,            ,14,ELISEO ROSAS TORRES                     ,19643.9,F         ,0,0,0,0,0,19643.9,Factura        ,MATEMP    ,0,13027
118644,18/07/2023,            ,395,11388.01,"PROCESOS DE SEGURIDAD IMPRESA, S.A. DE C .V.                                                                                                                                                                                                                  ",13/09/2013,30,30,3613-0185 3614-2913            ,1,16.7892,PESOS                                                                           ,FAC  ,1,0,17/08/2023,            ,14,ELISEO ROSAS TORRES                     ,11388.01,F         ,0,0,0,0,0,11388.01,Factura        ,MATEMP    ,0,118644
13171,08/08/2023,            ,395,12789,"PROCESOS DE SEGURIDAD IMPRESA, S.A. DE C .V.                                                                                                                                                                                                                  ",13/09/2013,30,30,3613-0185 3614-2913            ,1,17.0555,PESOS                                                                           ,FAC  ,1,0,07/09/2023,            ,14,ELISEO ROSAS TORRES                     ,12789,F         ,0,0,0,0,0,12789,Factura        ,MATEMP    ,0,13171
34552PME        ,02/10/2023,            ,947,309.72,PRODUCTOS MEDICOS ESPECIALES SA DE CV                                                                                                                                                                                                                         ,12/03/2018,0,0,3825-7488                      ,1,17.6195,PESOS                                                                           ,FAC  ,1,0,12/10/2023,            ,          ,                                        ,309.72,F         ,0,0,0,0,0,309.72,Factura        ,GTO       ,0,34552PME        
34568PME        ,04/10/2023,            ,947,161.24,PRODUCTOS MEDICOS ESPECIALES SA DE CV                                                                                                                                                                                                                         ,12/03/2018,0,0,3825-7488                      ,1,17.592,PESOS                                                                           ,FAC  ,1,0,12/10/2023,            ,          ,                                        ,161.24,F         ,0,0,0,0,0,161.24,Factura        ,GTO       ,0,34568PME        
34700PME        ,18/10/2023,            ,947,161.24,PRODUCTOS MEDICOS ESPECIALES SA DE CV                                                                                                                                                                                                                         ,12/03/2018,0,0,3825-7488                      ,1,17.9568,PESOS                                                                           ,FAC  ,1,0,23/10/2023,            ,          ,                                        ,161.24,F         ,0,0,0,0,0,161.24,Factura        ,GTO       ,0,34700PME        
2003CFDI        ,04/07/2023,            ,719,154175.95,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,17.1358,PESOS                                                                           ,FAC  ,1,0,12/07/2023,            ,          ,                                        ,458617.37,F         ,0,0,0,0,0,154175.95,Factura        ,GTO       ,0,2003CFDI        
2004CFDI        ,04/07/2023,            ,719,34372.3,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,17.1358,PESOS                                                                           ,FAC  ,1,0,12/07/2023,            ,          ,                                        ,34372.3,F         ,0,0,0,0,0,34372.3,Factura        ,GTO       ,0,2004CFDI        
2005CFDI        ,04/07/2023,            ,719,11968.69,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,17.1358,PESOS                                                                           ,FAC  ,1,0,12/07/2023,            ,          ,                                        ,11968.69,F         ,0,0,0,0,0,11968.69,Factura        ,GTO       ,0,2005CFDI        
2019CFDI        ,02/08/2023,            ,719,458617.37,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,16.7303,PESOS                                                                           ,FAC  ,1,0,08/08/2023,            ,          ,                                        ,458617.37,F         ,0,0,0,0,0,458617.37,Factura        ,GTO       ,0,2019CFDI        
2020CFDI        ,02/08/2023,            ,719,34372.3,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,16.7303,PESOS                                                                           ,FAC  ,1,0,08/08/2023,            ,          ,                                        ,34372.3,F         ,0,0,0,0,0,34372.3,Factura        ,GTO       ,0,2020CFDI        
2021CFDI        ,02/08/2023,            ,719,15787.26,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,16.7303,PESOS                                                                           ,FAC  ,1,0,08/08/2023,            ,          ,                                        ,15787.26,F         ,0,0,0,0,0,15787.26,Factura        ,GTO       ,0,2021CFDI        
2030CFDI        ,03/08/2023,            ,719,36419.39,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,16.8533,PESOS                                                                           ,FAC  ,1,0,08/08/2023,            ,          ,                                        ,36419.39,F         ,0,0,0,0,0,36419.39,Factura        ,GTO       ,0,2030CFDI        
2040CFDI        ,04/09/2023,            ,719,458617.37,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,16.917,PESOS                                                                           ,FAC  ,1,0,18/09/2023,            ,          ,                                        ,458617.37,F         ,0,0,0,0,0,458617.37,Factura        ,GTO       ,0,2040CFDI        
2041CFDIA       ,04/09/2023,            ,719,34372.3,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,16.917,PESOS                                                                           ,FAC  ,1,0,21/09/2023,            ,          ,                                        ,34372.3,F         ,0,0,0,0,0,34372.3,Factura        ,GTO       ,0,2041CFDIA       
2042CFDI        ,04/09/2023,            ,719,13357.27,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,16.917,PESOS                                                                           ,FAC  ,1,0,18/09/2023,            ,          ,                                        ,13357.27,F         ,0,0,0,0,0,13357.27,Factura        ,GTO       ,0,2042CFDI        
2051CFDI        ,05/09/2023,            ,719,9516.94,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,17.1113,PESOS                                                                           ,FAC  ,1,0,18/09/2023,            ,          ,                                        ,9516.94,F         ,0,0,0,0,0,9516.94,Factura        ,GTO       ,0,2051CFDI        
2059CFDI        ,03/10/2023,            ,719,458617.37,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,17.4127,PESOS                                                                           ,FAC  ,1,0,12/10/2023,            ,          ,                                        ,458617.37,F         ,0,0,0,0,0,458617.37,Factura        ,GTO       ,0,2059CFDI        
2060CFDI        ,03/10/2023,            ,719,34372.3,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,17.4127,PESOS                                                                           ,FAC  ,1,0,12/10/2023,            ,          ,                                        ,34372.3,F         ,0,0,0,0,0,34372.3,Factura        ,GTO       ,0,2060CFDI        
2061CFDI        ,03/10/2023,            ,719,12118.32,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,17.4127,PESOS                                                                           ,FAC  ,1,0,12/10/2023,            ,          ,                                        ,12118.32,F         ,0,0,0,0,0,12118.32,Factura        ,GTO       ,0,2061CFDI        
2073CFDI        ,02/11/2023,            ,719,458617.37,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,18.0368,PESOS                                                                           ,FAC  ,1,0,07/11/2023,            ,          ,                                        ,458617.37,F         ,0,0,0,0,0,458617.37,Factura        ,GTO       ,0,2073CFDI        
2074CFDI        ,02/11/2023,            ,719,34372.3,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,18.0368,PESOS                                                                           ,FAC  ,1,0,07/11/2023,            ,          ,                                        ,34372.3,F         ,0,0,0,0,0,34372.3,Factura        ,GTO       ,0,2074CFDI        
2076CFDI        ,02/11/2023,            ,719,15008.11,PROMOTORA TESISTAN S.A. DE C.V.                                                                                                                                                                                                                               ,17/07/2017,50000,0,3333-3333                      ,1,18.0368,PESOS                                                                           ,FAC  ,1,0,07/11/2023,            ,          ,                                        ,15008.11,F         ,0,0,0,0,0,15008.11,Factura        ,GTO       ,0,2076CFDI        
